year,Team,Predicted Rank,Actual Rank
2013,auburn,1,2
2013,baylor,2,5
2013,alabama,3,3
2013,florida state,4,
2013,oregon,5,10
2013,northern ill.,6,
2013,stanford,7,5
2013,missouri,8,8
2013,marshall,9,
2013,ohio st.,10,
2013,clemson,11,11
2013,east carolina,12,
2013,oklahoma state,13,
2013,arizona state,14,
2013,bowling green,15,
2013,oklahoma,16,10
2013,michigan st.,17,
2013,texas a&m,18,20
2013,louisville,19,16
2013,byu,20,
2013,south carolina,21,8
2013,lsu,22,14
2013,washington,23,
2013,north texas,24,
2013,houston,25,
2013,ucla,26,17
2013,wisconsin,27,19
2013,kent state,28,
2013,buffalo,29,
2013,florida,30,
2013,tulane,31,
2013,southern california,32,
2013,ball state,33,
2013,texas tech,34,
2013,florida atlantic,35,
2013,north carolina,36,
2013,tcu,37,
2013,army,38,
2013,navy,39,
2013,louisiana tech,40,
2013,rice,41,
2013,nebraska,42,
2013,arizona,43,
2013,south alabama,44,
2013,western michigan,45,
2013,south fla.,46,
2013,iowa,47,
2013,tennessee,48,
2013,virginia tech,49,
2013,texas,50,
2013,ole miss,51,
2013,central michigan,52,
2013,western ky.,53,
2013,mississippi state,54,
2013,arkansas state,55,
2013,southern miss,56,
2013,oregon state,57,
2013,wake forest,58,
2013,middle tennessee,59,
2013,minnesota,60,
2013,cincinnati,61,
2013,umass,62,
2013,fiu,63,
2013,kansas st.,64,
2013,northwestern,65,
2013,purdue,66,
2013,syracuse,67,
2013,vanderbilt,68,
2013,georgia tech,69,
2013,indiana,70,
2013,texas-el paso,71,
2013,penn state,72,
2013,eastern mich.,73,
2013,arkansas,74,
2013,pittsburgh,75,
2013,texas st.,76,
2013,new mexico st.,77,
2013,north carolina state,78,
2013,ohio,79,
2013,kentucky,80,
2013,virginia,81,
2013,louisiana-lafayette,82,
2013,idaho,83,
2013,memphis,84,
2013,connecticut,85,
2013,california,86,
2013,michigan,87,
2013,temple,88,
2013,toledo,89,
2013,georgia,90,22
2013,akron,91,
2013,boston college,92,
2013,central florida,93,15
2013,smu,94,
2013,troy university,95,
2013,utah,96,
2013,maryland,97,
2013,duke,98,21
2013,west virginia,99,
2013,illinois,100,
2013,kansas,101,
2013,alabama-birmingham,102,
2013,washington st.,103,
2013,iowa st.,104,
2013,la.-monroe,105,
2013,rutgers,106,
2013,tulsa,107,
2013,colorado,108,
2013,miami,109,25
2013,miami,110,25
2013,notre dame,111,25
2013,miami,112,25
