year,Team,Predicted Rank (RFE),Actual Rank
2013,auburn,1,2
2013,alabama,2,3
2013,baylor,3,5
2013,ohio st.,4,
2013,marshall,5,
2013,florida state,6,
2013,missouri,7,8
2013,stanford,8,5
2013,oregon,9,10
2013,northern ill.,10,
2013,clemson,11,11
2013,bowling green,12,
2013,arizona state,13,
2013,oklahoma,14,10
2013,south carolina,15,8
2013,oklahoma state,16,
2013,east carolina,17,
2013,louisville,18,16
2013,north texas,19,
2013,lsu,20,14
2013,texas a&m,21,20
2013,michigan st.,22,
2013,florida,23,
2013,wisconsin,24,19
2013,ball state,25,
2013,washington,26,
2013,rice,27,
2013,byu,28,
2013,minnesota,29,
2013,navy,30,
2013,ucla,31,17
2013,florida atlantic,32,
2013,western ky.,33,
2013,tulane,34,
2013,arizona,35,
2013,tcu,36,
2013,mississippi state,37,
2013,houston,38,
2013,army,39,
2013,buffalo,40,
2013,southern california,41,
2013,northwestern,42,
2013,kent state,43,
2013,syracuse,44,
2013,iowa,45,
2013,boston college,46,
2013,texas tech,47,
2013,texas,48,
2013,south fla.,49,
2013,cincinnati,50,
2013,vanderbilt,51,
2013,kansas st.,52,
2013,north carolina,53,
2013,ole miss,54,
2013,louisiana tech,55,
2013,texas st.,56,
2013,middle tennessee,57,
2013,nebraska,58,
2013,georgia tech,59,
2013,virginia tech,60,
2013,new mexico st.,61,
2013,memphis,62,
2013,connecticut,63,
2013,pittsburgh,64,
2013,indiana,65,
2013,iowa st.,66,
2013,wake forest,67,
2013,penn state,68,
2013,oregon state,69,
2013,michigan,70,
2013,north carolina state,71,
2013,louisiana-lafayette,72,
2013,virginia,73,
2013,maryland,74,
2013,idaho,75,
2013,tennessee,76,
2013,arkansas state,77,
2013,georgia,78,22
2013,central michigan,79,
2013,purdue,80,
2013,smu,81,
2013,central florida,82,15
2013,western michigan,83,
2013,toledo,84,
2013,colorado,85,
2013,akron,86,
2013,alabama-birmingham,87,
2013,southern miss,88,
2013,temple,89,
2013,fiu,90,
2013,texas-el paso,91,
2013,duke,92,21
2013,tulsa,93,
2013,arkansas,94,
2013,south alabama,95,
2013,ohio,96,
2013,troy university,97,
2013,california,98,
2013,illinois,99,
2013,umass,100,
2013,kentucky,101,
2013,eastern mich.,102,
2013,kansas,103,
2013,west virginia,104,
2013,rutgers,105,
2013,utah,106,
2013,la.-monroe,107,
2013,washington st.,108,
2013,miami,109,25
2013,miami,110,25
2013,notre dame,111,25
2013,miami,112,25
2013,miami,113,25
2014,alabama,1,1
2014,oregon,2,2
2014,tcu,3,6
2014,ohio st.,4,
2014,marshall,5,
2014,baylor,6,4
2014,michigan st.,7,
2014,georgia tech,8,9
2014,georgia,9,13
2014,ole miss,10,9
2014,louisiana tech,11,
2014,memphis,12,
2014,western ky.,13,
2014,arizona,14,10
2014,missouri,15,14
2014,ucla,16,14
2014,florida,17,
2014,ball state,18,
2014,rice,19,
2014,north texas,20,
2014,la.-monroe,21,
2014,tennessee,22,
2014,pittsburgh,23,
2014,wisconsin,24,17
2014,clemson,25,17
2014,texas st.,26,
2014,mississippi state,27,
2014,texas,28,
2014,arizona state,29,
2014,michigan,30,
2014,syracuse,31,
2014,virginia tech,32,
2014,kansas st.,33,
2014,central florida,34,
2014,stanford,35,
2014,wake forest,36,
2014,southern california,37,
2014,arkansas state,38,
2014,louisiana-lafayette,39,
2014,penn state,40,
2014,boston college,41,
2014,washington,42,
2014,fiu,43,
2014,akron,44,
2014,temple,45,
2014,kentucky,46,
2014,lsu,47,22
2014,texas-el paso,48,
2014,miami,49,
2014,miami,50,
2014,duke,51,
2014,auburn,52,19
2014,west virginia,53,
2014,toledo,54,
2014,louisville,55,20
2014,buffalo,56,
2014,cincinnati,57,
2014,houston,58,
2014,northern ill.,59,
2014,navy,60,
2014,northwestern,61,
2014,northwestern,62,
2014,bowling green,63,
2014,army,64,
2014,south carolina,65,
2014,washington st.,66,
2014,arkansas,67,
2014,alabama-birmingham,68,
2014,colorado,69,
2014,western michigan,70,
2014,indiana,71,
2014,california,72,
2014,east carolina,73,
2014,maryland,74,
2014,byu,75,
2014,idaho,76,
2014,kent state,77,
2014,iowa,78,
2014,oklahoma state,79,
2014,georgia state,80,
2014,rutgers,81,
2014,notre dame,82,
2014,florida state,83,
2014,virginia,84,
2014,new mexico st.,85,
2014,texas a&m,86,
2014,texas tech,87,
2014,south fla.,88,
2014,troy university,89,
2014,nebraska,90,22
2014,tulane,91,
2014,connecticut,92,
2014,purdue,93,
2014,north carolina state,94,
2014,south alabama,95,
2014,ohio,96,
2014,miami,97,
2014,miami,98,
2014,oregon state,99,
2014,southern miss,100,
2014,north carolina,101,
2014,middle tennessee,102,
2014,kansas,103,
2014,iowa st.,104,
2014,texas-san antonio,105,
2014,central michigan,106,
2014,umass,107,
2014,smu,108,
2014,minnesota,109,25
2014,illinois,110,
2014,utah,111,22
2014,florida atlantic,112,
2014,vanderbilt,113,
2014,eastern mich.,114,
2014,oklahoma,115,24
2014,tulsa,116,
2015,clemson,1,1
2015,alabama,2,2
2015,oklahoma,3,3
2015,stanford,4,6
2015,southern miss,5,
2015,iowa,6,7
2015,western ky.,7,
2015,tcu,8,10
2015,ohio st.,9,
2015,north carolina,10,11
2015,arkansas state,11,
2015,houston,12,16
2015,texas tech,13,
2015,northwestern,14,12
2015,northwestern,15,12
2015,appalachian st.,16,
2015,ole miss,17,15
2015,memphis,18,
2015,notre dame,19,9
2015,florida state,20,
2015,bowling green,21,
2015,toledo,22,
2015,baylor,23,19
2015,oregon,24,14
2015,west virginia,25,
2015,penn state,26,
2015,georgia tech,27,
2015,texas,28,
2015,michigan,29,17
2015,byu,30,
2015,boston college,31,
2015,ucla,32,
2015,mississippi state,33,
2015,central michigan,34,
2015,ga. southern,35,
2015,arizona state,36,
2015,north carolina state,37,
2015,oklahoma state,38,
2015,indiana,39,
2015,marshall,40,
2015,connecticut,41,
2015,missouri,42,
2015,east carolina,43,
2015,illinois,44,
2015,michigan st.,45,
2015,temple,46,24
2015,cincinnati,47,
2015,army,48,
2015,syracuse,49,
2015,tulane,50,
2015,south fla.,51,
2015,vanderbilt,52,
2015,tulsa,53,
2015,south carolina,54,
2015,california,55,
2015,minnesota,56,
2015,washington st.,57,
2015,auburn,58,
2015,southern california,59,
2015,florida,60,18
2015,washington,61,
2015,akron,62,
2015,texas a&m,63,
2015,idaho,64,
2015,virginia tech,65,
2015,troy university,66,
2015,georgia,67,25
2015,northern ill.,68,
2015,western michigan,69,
2015,kentucky,70,
2015,miami,71,
2015,miami,72,
2015,louisiana tech,73,
2015,navy,74,22
2015,kent state,75,
2015,georgia state,76,
2015,utah,77,20
2015,wake forest,78,
2015,purdue,79,
2015,kansas st.,80,
2015,arizona,81,
2015,middle tennessee,82,
2015,fiu,83,
2015,lsu,84,21
2015,virginia,85,
2015,south alabama,86,
2015,texas-el paso,87,
2015,colorado,88,
2015,eastern mich.,89,
2015,smu,90,
2015,maryland,91,
2015,nebraska,92,
2015,louisville,93,
2015,wisconsin,94,23
2015,buffalo,95,
2015,texas-san antonio,96,
2015,duke,97,
2015,ohio,98,
2015,ball state,99,
2015,tennessee,100,23
2015,texas st.,101,
2015,umass,102,
2015,florida atlantic,103,
2015,louisiana-lafayette,104,
2015,new mexico st.,105,
2015,iowa st.,106,
2015,arkansas,107,
2015,pittsburgh,108,
2015,rice,109,
2015,rutgers,110,
2015,la.-monroe,111,
2015,oregon state,112,
2015,miami,113,
2015,miami,114,
2015,north texas,115,
2015,old dominion,116,
2015,central florida,117,
2015,kansas,118,
2016,alabama,1,1
2016,clemson,2,3
2016,michigan,3,6
2016,washington,4,4
2016,western michigan,5,
2016,oklahoma,6,7
2016,ohio st.,7,
2016,western ky.,8,
2016,louisiana tech,9,
2016,colorado,10,11
2016,texas tech,11,
2016,miami,12,
2016,miami,13,
2016,louisville,14,15
2016,west virginia,15,12
2016,appalachian st.,16,
2016,navy,17,25
2016,wisconsin,18,8
2016,penn state,19,
2016,tulsa,20,
2016,tulane,21,
2016,toledo,22,
2016,wake forest,23,
2016,ga. southern,24,
2016,middle tennessee,25,
2016,florida state,26,
2016,washington st.,27,
2016,auburn,28,17
2016,georgia,29,
2016,ucla,30,
2016,oklahoma state,31,
2016,kansas st.,32,
2016,south fla.,33,
2016,vanderbilt,34,
2016,georgia state,35,
2016,north carolina,36,
2016,byu,37,
2016,troy university,38,
2016,louisiana-lafayette,39,
2016,army,40,
2016,arkansas state,41,
2016,boston college,42,
2016,michigan st.,43,
2016,oregon state,44,
2016,georgia tech,45,
2016,texas a&m,46,
2016,idaho,47,
2016,virginia tech,48,19
2016,central florida,49,
2016,memphis,50,
2016,stanford,51,16
2016,missouri,52,
2016,texas,53,
2016,arizona state,54,
2016,northwestern,55,
2016,northwestern,56,
2016,houston,57,
2016,notre dame,58,
2016,southern california,59,
2016,florida,60,18
2016,cincinnati,61,
2016,kent state,62,
2016,south alabama,63,
2016,old dominion,64,
2016,iowa st.,65,
2016,lsu,66,20
2016,rice,67,
2016,california,68,
2016,miami,69,
2016,miami,70,
2016,pittsburgh,71,22
2016,baylor,72,
2016,purdue,73,
2016,southern miss,74,
2016,south carolina,75,
2016,virginia,76,
2016,fiu,77,
2016,oregon,78,
2016,minnesota,79,
